enrollment_no,roll_no,full_name,email,contact_no,batch,degree,department,class_division
MITU22BTCS0001,1,Aarav Sharma,aarav.sharma@mitu.edu.in,9876543201,2026,B.Tech,AI & DS,LY AIA
MITU22BTCS0002,2,Diya Patel,diya.patel@mitu.edu.in,9876543202,2026,B.Tech,AI & DS,LY AIA
MITU22BTCS0003,3,Rohan Verma,rohan.verma@mitu.edu.in,9876543203,2026,B.Tech,AI & DS,LY AIA
MITU22BTCS0004,4,Sneha Kulkarni,sneha.kulkarni@mitu.edu.in,9876543204,2026,B.Tech,AI & DS,LY AIA
MITU22BTCS0005,5,Karan Mehta,karan.mehta@mitu.edu.in,9876543205,2026,B.Tech,AI & DS,LY AIA
MITU22BTCS0006,6,Ananya Deshmukh,ananya.deshmukh@mitu.edu.in,9876543206,2026,B.Tech,AI & DS,LY AIA
MITU22BTCS0007,7,Vivaan Joshi,vivaan.joshi@mitu.edu.in,9876543207,2026,B.Tech,AI & DS,LY AIA
MITU22BTCS0008,8,Ishita Nair,ishita.nair@mitu.edu.in,9876543208,2026,B.Tech,AI & DS,LY AIA
MITU22BTCS0009,9,Aditya Singh,aditya.singh@mitu.edu.in,9876543209,2026,B.Tech,AI & DS,LY AIA
MITU22BTCS0010,10,Meera Iyer,meera.iyer@mitu.edu.in,9876543210,2026,B.Tech,AI & DS,LY AIA
MITU23BTCS0011,11,Arjun Rao,arjun.rao@mitu.edu.in,9876543211,2027,B.Tech,AI & DS,TY AIA
MITU23BTCS0012,12,Kavya Shah,kavya.shah@mitu.edu.in,9876543212,2027,B.Tech,AI & DS,TY AIA
MITU23BTCS0013,13,Rahul Chavan,rahul.chavan@mitu.edu.in,9876543213,2027,B.Tech,AI & DS,TY AIA
MITU23BTCS0014,14,Priya Menon,priya.menon@mitu.edu.in,9876543214,2027,B.Tech,AI & DS,TY AIA
MITU23BTCS0015,15,Sahil Gupta,sahil.gupta@mitu.edu.in,9876543215,2027,B.Tech,AI & DS,TY AIA
MITU23BTCS0016,16,Nisha Reddy,nisha.reddy@mitu.edu.in,9876543216,2027,B.Tech,AI & DS,TY AIA
MITU23BTCS0017,17,Yash Thakur,yash.thakur@mitu.edu.in,9876543217,2027,B.Tech,AI & DS,TY AIA
MITU23BTCS0018,18,Tanvi Bhosale,tanvi.bhosale@mitu.edu.in,9876543218,2027,B.Tech,AI & DS,TY AIA
MITU23BTCS0019,19,Harsh Agarwal,harsh.agarwal@mitu.edu.in,9876543219,2027,B.Tech,AI & DS,TY AIA
MITU23BTCS0020,20,Riya Jadhav,riya.jadhav@mitu.edu.in,9876543220,2027,B.Tech,AI & DS,TY AIA
